,YEAR,LITERATURE,LITERATURE_URL
0,2024,Han Kang,/wiki/Han_Kang
1,2023,Jon Fosse,/wiki/Jon_Fosse
2,2022,Annie Ernaux,/wiki/Annie_Ernaux
3,2021,Abdulrazak Gurnah,/wiki/Abdulrazak_Gurnah
4,2020,Louise Glück,/wiki/Louise_Gl%C3%BCck
5,2019,Peter Handke,/wiki/Peter_Handke
6,2018,Olga Tokarczuk[h],/wiki/Olga_Tokarczuk;#cite_note-G-24
7,2017,Kazuo Ishiguro,/wiki/Kazuo_Ishiguro
8,2016,Bob Dylan,/wiki/Bob_Dylan
9,2015,Svetlana Alexievich,/wiki/Svetlana_Alexievich
10,2014,Patrick Modiano,/wiki/Patrick_Modiano
11,2013,Alice Munro,/wiki/Alice_Munro
12,2012,Mo Yan,/wiki/Mo_Yan
13,2011,Tomas Tranströmer,/wiki/Tomas_Transtr%C3%B6mer
14,2010,Mario Vargas Llosa,/wiki/Mario_Vargas_Llosa
15,2009,Herta Müller,/wiki/Herta_M%C3%BCller
16,2008,J. M. G. Le Clézio,/wiki/J._M._G._Le_Cl%C3%A9zio
17,2007,Doris Lessing,/wiki/Doris_Lessing
18,2006,Orhan Pamuk,/wiki/Orhan_Pamuk
19,2005,Harold Pinter,/wiki/Harold_Pinter
20,2004,Elfriede Jelinek,/wiki/Elfriede_Jelinek
21,2003,J. M. Coetzee,/wiki/J._M._Coetzee
22,2002,Imre Kertész,/wiki/Imre_Kert%C3%A9sz
23,2001,V. S. Naipaul,/wiki/V._S._Naipaul
24,2000,Gao Xingjian,/wiki/Gao_Xingjian
25,1999,Günter Grass,/wiki/G%C3%BCnter_Grass
26,1998,José Saramago,/wiki/Jos%C3%A9_Saramago
27,1997,Dario Fo,/wiki/Dario_Fo
28,1996,Wisława Szymborska,/wiki/Wis%C5%82awa_Szymborska
29,1995,Seamus Heaney,/wiki/Seamus_Heaney
30,1994,Kenzaburō Ōe,/wiki/Kenzabur%C5%8D_%C5%8Ce
31,1993,Toni Morrison,/wiki/Toni_Morrison
32,1992,Derek Walcott,/wiki/Derek_Walcott
33,1991,Nadine Gordimer,/wiki/Nadine_Gordimer
34,1990,Octavio Paz,/wiki/Octavio_Paz
35,1989,Camilo José Cela,/wiki/Camilo_Jos%C3%A9_Cela
36,1988,Naguib Mahfouz,/wiki/Naguib_Mahfouz
37,1987,Joseph Brodsky,/wiki/Joseph_Brodsky
38,1986,Wole Soyinka,/wiki/Wole_Soyinka
39,1985,Claude Simon,/wiki/Claude_Simon
40,1984,Jaroslav Seifert,/wiki/Jaroslav_Seifert
41,1983,William Golding,/wiki/William_Golding
42,1982,Gabriel García Márquez,/wiki/Gabriel_Garc%C3%ADa_M%C3%A1rquez
43,1981,Elias Canetti,/wiki/Elias_Canetti
44,1980,Czesław Miłosz,/wiki/Czes%C5%82aw_Mi%C5%82osz
45,1979,Odysseas Elytis,/wiki/Odysseas_Elytis
46,1978,Isaac Bashevis Singer,/wiki/Isaac_Bashevis_Singer
47,1977,Vicente Aleixandre,/wiki/Vicente_Aleixandre
48,1976,Saul Bellow,/wiki/Saul_Bellow
49,1975,Eugenio Montale,/wiki/Eugenio_Montale
50,1974,Eyvind Johnson;Harry Martinson,/wiki/Eyvind_Johnson;/wiki/Harry_Martinson
51,1973,Patrick White,/wiki/Patrick_White
52,1972,Heinrich Böll,/wiki/Heinrich_B%C3%B6ll
53,1971,Pablo Neruda,/wiki/Pablo_Neruda
54,1970,Aleksandr Solzhenitsyn,/wiki/Aleksandr_Solzhenitsyn
55,1969,Samuel Beckett,/wiki/Samuel_Beckett
56,1968,Yasunari Kawabata,/wiki/Yasunari_Kawabata
57,1967,Miguel Ángel Asturias,/wiki/Miguel_%C3%81ngel_Asturias
58,1966,Shmuel Yosef Agnon;Nelly Sachs,/wiki/Shmuel_Yosef_Agnon;/wiki/Nelly_Sachs
59,1965,Mikhail Sholokhov,/wiki/Mikhail_Sholokhov
60,1964,Jean-Paul Sartre[e],/wiki/Jean-Paul_Sartre;#cite_note-D-19
61,1963,Giorgos Seferis,/wiki/Giorgos_Seferis
62,1962,John Steinbeck,/wiki/John_Steinbeck
63,1961,Ivo Andrić,/wiki/Ivo_Andri%C4%87
64,1960,Saint-John Perse,/wiki/Saint-John_Perse
65,1959,Salvatore Quasimodo,/wiki/Salvatore_Quasimodo
66,1958,Boris Pasternak[d],/wiki/Boris_Pasternak;#cite_note-C-18
67,1957,Albert Camus,/wiki/Albert_Camus
68,1956,Juan Ramón Jiménez,/wiki/Juan_Ram%C3%B3n_Jim%C3%A9nez
69,1955,Halldór Laxness,/wiki/Halld%C3%B3r_Laxness
70,1954,Ernest Hemingway,/wiki/Ernest_Hemingway
71,1953,Winston Churchill,/wiki/Winston_Churchill
72,1952,François Mauriac,/wiki/Fran%C3%A7ois_Mauriac
73,1951,Pär Lagerkvist,/wiki/P%C3%A4r_Lagerkvist
74,1950,Bertrand Russell,/wiki/Bertrand_Russell
75,1949,William Faulkner,/wiki/William_Faulkner
76,1948,T. S. Eliot,/wiki/T._S._Eliot
77,1947,André Gide,/wiki/Andr%C3%A9_Gide
78,1946,Hermann Hesse,/wiki/Hermann_Hesse
79,1945,Gabriela Mistral,/wiki/Gabriela_Mistral
80,1944,Johannes V. Jensen,/wiki/Johannes_V._Jensen
81,1943,,
82,1942,No Record,No Record
83,1941,No Record,No Record
84,1940,No Record,No Record
85,1939,Frans Eemil Sillanpää,/wiki/Frans_Eemil_Sillanp%C3%A4%C3%A4
86,1938,Pearl S. Buck,/wiki/Pearl_S._Buck
87,1937,Roger Martin du Gard,/wiki/Roger_Martin_du_Gard
88,1936,Eugene O'Neill,/wiki/Eugene_O%27Neill
89,1935,,Carl von Ossietzky
90,1934,/wiki/Luigi_Pirandello,Arthur Henderson
91,1933,/wiki/Ivan_Bunin,Norman Angell
92,1932,John Galsworthy,/wiki/John_Galsworthy
93,1931,/wiki/Erik_Axel_Karlfeldt,Jane Addams;Nicholas Murray Butler
94,1930,Sinclair Lewis,/wiki/Sinclair_Lewis
95,1929,Thomas Mann,/wiki/Thomas_Mann
96,1928,Sigrid Undset,/wiki/Sigrid_Undset
97,1927,Henri Bergson,/wiki/Henri_Bergson
98,1926,Grazia Deledda,/wiki/Grazia_Deledda
99,1925,/wiki/George_Bernard_Shaw,Austen Chamberlain;Charles G. Dawes
100,1924,/wiki/W%C5%82adys%C5%82aw_Reymont,
101,1923,W. B. Yeats,/wiki/W._B._Yeats
102,1922,Jacinto Benavente,/wiki/Jacinto_Benavente
103,1921,/wiki/Anatole_France,Hjalmar Branting;Christian Lous Lange
104,1920,Knut Hamsun,/wiki/Knut_Hamsun
105,1919,/wiki/Carl_Spitteler,Woodrow Wilson
106,1918,,No Record
107,1917,International Committee of the Red Cross,/wiki/International_Committee_of_the_Red_Cross
108,1916,No Record,No Record
109,1915,/wiki/Romain_Rolland,
110,1914,,
111,1913,Rabindranath Tagore,/wiki/Rabindranath_Tagore
112,1912,Gerhart Hauptmann,/wiki/Gerhart_Hauptmann
113,1911,Maurice Maeterlinck,/wiki/Maurice_Maeterlinck
114,1910,Paul Heyse,/wiki/Paul_Heyse
115,1909,Selma Lagerlöf,/wiki/Selma_Lagerl%C3%B6f
116,1908,Rudolf Christoph Eucken,/wiki/Rudolf_Christoph_Eucken
117,1907,Rudyard Kipling,/wiki/Rudyard_Kipling
118,1906,Giosuè Carducci,/wiki/Giosu%C3%A8_Carducci
119,1905,Henryk Sienkiewicz,/wiki/Henryk_Sienkiewicz
120,1904,Frédéric Mistral;José Echegaray,/wiki/Fr%C3%A9d%C3%A9ric_Mistral;/wiki/Jos%C3%A9_Echegaray
121,1903,Bjørnstjerne Bjørnson,/wiki/Bj%C3%B8rnstjerne_Bj%C3%B8rnson
122,1902,Theodor Mommsen,/wiki/Theodor_Mommsen
123,1901,Sully Prudhomme,/wiki/Sully_Prudhomme
